,address,categories,cc,city,country,crossStreet,distance,formattedAddress,id,labeledLatLngs,lat,lng,name,postalCode,state
79,Outer Ring Road,Bar,IN,Bangalore,India,,1794,"['Outer Ring Road', 'Bangalore', 'Karnātaka', 'India']",4d83851261676dcb89285de4,"[{'label': 'display', 'lat': 12.93986, 'lng': 77.696056}]",12.93986,77.696056,Swagruha Bar & Restaurant,,Karnātaka
80,,Indian Restaurant,IN,,India,,1515,['India'],4f9171f3e4b020a51d6d0389,"[{'label': 'display', 'lat': 12.980810851775262, 'lng': 77.57743724820416}]",12.980810851775262,77.57743724820415,Tamara Vegetarian Restaurant,,
81,opposite To Mahabazar Supermarket,Kerala Restaurant,IN,Bangalore,India,Marathahalli,2706,"['opposite To Mahabazar Supermarket (Marathahalli)', 'Bangalore 560037', 'Karnātaka', 'India']",545e3734498e3953211c89be,"[{'label': 'display', 'lat': 12.956742852341112, 'lng': 77.70265196053191}]",12.956742852341113,77.7026519605319,Thalassery Restaurant,560037,Karnātaka
82,Near Bellandur Central,Kerala Restaurant,IN,Bangalore,India,Outer Ring Road,2241,"['Near Bellandur Central (Outer Ring Road)', 'Bangalore', 'Karnātaka', 'India']",570f6011498ec926611e8f92,"[{'label': 'display', 'lat': 12.925844701985964, 'lng': 77.67590136682072}]",12.925844701985964,77.67590136682071,Thalassery Restaurant,,Karnātaka
83,Brigade Road,Restaurant,IN,Bangalore,India,Residency Road Junction,1854,"['Brigade Road (Residency Road Junction)', 'Bangalore', 'Karnātaka', 'India']",4f4e58b1e4b0774b577648d0,"[{'label': 'display', 'lat': 12.971922576186968, 'lng': 77.6067150297351}]",12.971922576186968,77.6067150297351,The Chariot Veg Restaurant,,Karnātaka
84,"Lady Curzan road, Shivajinagar",Indian Restaurant,IN,Bangalore,India,,1478,"['Lady Curzan road, Shivajinagar', 'Bangalore', 'Karnātaka', 'India']",4d98425dc19fb60c3c7eaa65,"[{'label': 'display', 'lat': 12.981244661809155, 'lng': 77.60475669953111}]",12.981244661809152,77.60475669953111,The Grand Taj Restaurant,,Karnātaka
85,Opp Thulasi Theatre,Bar,IN,,India,,2174,"['Opp Thulasi Theatre', 'India']",55cdfc17498e3ddc50a277c4,"[{'label': 'display', 'lat': 12.955677032470703, 'lng': 77.6976318359375}]",12.955677032470705,77.6976318359375,Thulasi Bar and Restaurant,,
86,"1/5, Hosur Road, Next to All Saints Church, Opp. Johnson Market",Restaurant,IN,Bangalore,India,,2315,"['1/5, Hosur Road, Next to All Saints Church, Opp. Johnson Market', 'Bangalore 560025', 'Karnātaka', 'India']",50ea8777e4b007fcc963b39b,"[{'label': 'display', 'lat': 12.956606299018208, 'lng': 77.6625242998368}]",12.956606299018205,77.6625242998368,Tom's Restaurant,560025,Karnātaka
87,,Buffet,IN,,India,,3486,['India'],56fc7fd3498e735c8645031f,"[{'label': 'display', 'lat': 12.947969217029428, 'lng': 77.59466236688444}]",12.947969217029428,77.59466236688444,Tree Top Restaurant,,
88,19/2,Indian Restaurant,IN,Bangalore,India,Kumara Krupa Road,1484,"['19/2 (Kumara Krupa Road)', 'Bangalore 560001', 'Karnātaka', 'India']",520288ab498e7da285a3f511,"[{'label': 'display', 'lat': 12.985434394364669, 'lng': 77.57924494564782}]",12.985434394364667,77.57924494564782,Trinity Restaurant,560001.0,Karnātaka
89,"402-A, Millers Road, Vasanthnagar,",Indian Restaurant,IN,Bangalore,India,,1504,"['402-A, Millers Road, Vasanthnagar,', 'Bangalore 560052', 'Karnātaka', 'India']",4b6ee375f964a52029cf2ce3,"[{'label': 'display', 'lat': 12.99227960861634, 'lng': 77.59447349833962}]",12.99227960861634,77.59447349833962,Ujwal Bar & Restaurant,560052.0,Karnātaka
90,RT nagar,Bar,IN,Bangalore,India,R.T. Nagar Main Road,4808,"['RT nagar (R.T. Nagar Main Road)', 'Bangalore', 'Karnātaka', 'India']",4d0633630e49721ef8007a7f,"[{'label': 'display', 'lat': 13.022309703945407, 'lng': 77.59209947132761}]",13.022309703945409,77.59209947132761,Ujwal Bar & Restaurant,,Karnātaka
91,,Seafood Restaurant,IN,,India,,1257,['India'],4ebd511ecc21ae646ac511c8,"[{'label': 'display', 'lat': 12.989960796924578, 'lng': 77.58805355931801}]",12.98996079692458,77.58805355931801,Unicorn Bar & Restaurant,,
92,,Indian Restaurant,IN,Bangalore,India,,2198,"['Bangalore', 'Karnātaka', 'India']",4f12e573e4b06c588c0319a3,"[{'label': 'display', 'lat': 12.988875159065476, 'lng': 77.57368184633285}]",12.988875159065476,77.57368184633285,Uttarkhand Restaurant,,Karnātaka
93,,,IN,,India,,1531,['India'],4e4652feae60fa7232f1846f,"[{'label': 'display', 'lat': 12.974505, 'lng': 77.604598}]",12.974505,77.604598,ada restaurant,,
94,,Indian Restaurant,IN,,India,,2111,['India'],51c6a622498ea3992b8bdf61,"[{'label': 'display', 'lat': 12.953849792480469, 'lng': 77.69801330566406}]",12.953849792480467,77.69801330566406,kalinga restaurant,,
95,,Bar,IN,,India,,1532,['India'],51838c67498e952d121fe406,"[{'label': 'display', 'lat': 12.976122856140137, 'lng': 77.57750701904297}]",12.976122856140135,77.57750701904297,karthik bar and restaurant,,
96,Queens Road,Asian Restaurant,IN,Bangalore,India,,802,"['Queens Road', 'Bangalore 560032', 'Karnātaka', 'India']",5114ace4e4b0133e908de445,"[{'label': 'display', 'lat': 12.983237266540527, 'lng': 77.59737396240234}]",12.983237266540527,77.59737396240234,marata restaurant,560032.0,Karnātaka
97,,Fast Food Restaurant,IN,Bangalore,India,,1710,"['Bangalore', 'Karnātaka', 'India']",50f63f7fe4b0137aeb535c10,"[{'label': 'display', 'lat': 12.9308787826569, 'lng': 77.6855067630091}]",12.930878782656901,77.68550676300909,munnaas Kairali Restaurant,,Karnātaka
98,,Indian Restaurant,IN,,India,,738,['India'],51aa1468498e2fe97220dced,"[{'label': 'display', 'lat': 12.982284545898438, 'lng': 77.58531188964844}]",12.982284545898438,77.58531188964844,samrat restaurant,,
99,,Bar,IN,,India,,2201,['India'],4fda004ee4b0d2bb7085bc76,"[{'label': 'display', 'lat': 12.955465316772461, 'lng': 77.69805908203125}]",12.955465316772461,77.69805908203125,thirumala bar & restaurant,,
